Pizze;;;;;;;
Piz-Margherita;5;;;;;;
Piz-Acciughina;6;;;;;;
Piz-Acetina;7;;;;;;
Piz-Boscaiola;8;;;;;;
Piz-Bufala;7;;;;;;
Piz-Bismark;7;;;;;;
Piz-Cantinetta;7;;;;;;
Piz-Country;7;;;;;;
Piz-Formaggi;6;;;;;;
Piz-FunghiSalsi;8;;;;;;
Piz-GorgoCipo;6;;;;;;
Piz-Greca;6;;;;;;
Piz-Ligure;6;;;;;;
Piz-Messicana;7;;;;;;
Piz-Parmigiana;7;;;;;;
Piz-Piccantina;6;;;;;;
Piz-Porcini;8;;;;;;
Piz-Prosciutto;6;;;;;;
Piz-Rustica;7;;;;;;
Piz-Salsiccia;6;;;;;;
Piz-SalsiCipo;6;;;;;;
Piz-SalsiFria;7;;;;;;
Piz-Trentina;7;;;;;;
Piz-Vegetariana;7;;;;;;
Piz-Venariese;7;;;;;;
Piz-Wurstel;6;;;;;;
Foc-Cotto;7;;;;;;
Foc-Crudo;7;;;;;;
Foc-Padano;7;;;;;;
Foc-Emiliana;7;;;;;;
Foc-Delizia dell'orto;8;;;;;;
Piz-Zucchine e crudo;7;;;;;;
Rinforzi  ;1;;;;;;
;;;;;;;
Antipasti;;;;;;;
Cantinetti; 5 ;;;;;;
Bufala; 9 ;;;;;;
Cantinetti e Crudo; 9 ;;;;;;
Piatto dell'estate; 12 ;;;;;;
Tagliere Formaggi; 14 ;;;;;;
Tagliere crudo; 12 ;;;;;;
Antipasto Vegan; 8 ;;;;;;
Bruschette;;;;;;;
Brusc-Pom e orig; 5 ;;;;;;
Brusc-Polpettina; 7 ;;;;;;
Brusc-Pesto; 7 ;;;;;;
Brusc-La bufala; 7 ;;;;;;
Brusc-Parma; 7 ;;;;;;
Primi;;;;;;;
Agnolotti Reali; 9 ;;;;;;
Spaghetti Isolana; 9 ;;;;;;
Gnocchi Mare e monti; 10 ;;;;;;
Spaghetti Cantinetta; 9 ;;;;;;
Maccheroni Norma; 9 ;;;;;;
Orecchiette; 9 ;;;;;;
Secondi;;;;;;;
Cotoletta Milanese; 10 ;;;;;;
Fagottino Barbera; 9 ;;;;;;
Arrosticini ; 12 ;;;;;;
Grigliata Mista; 17 ;;;;;;
Rustichella Pollo; 9 ;;;;;;
 ;   ;;;;;;
Maxipiatti;;;;;;;
M-Hamburger fassona; 14 ;;;;;;
M-Rustichella; 14 ;;;;;;
M-Vegetariano; 14 ;;;;;;
M-Bolognese; 14 ;;;;;;
M-Fagottino Barbera; 14 ;;;;;;
M-Mex; 12 ;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
Patatine;;;;;;;
;;;;;;;
Stracciatella  valeriana  pesto ; 13 ;;;;;;
Fagioli Mex; 4 ;;;;;;
Salsiccia e fondutina; 13 ;;;;;;
Pollo alla cacciatora; 13 ;;;;;;
Funghi champ  sals  ciliegini; 13 ;;;;;;
Broccoli cip speck e strac; 13 ;;;;;;
Fagioli toma pesto ; 13 ;;;;;;
Salsiccia  gorgo  radicchio; 13 ;;;;;;
Prosciutto cotto e mozza; 13 ;;;;;;
Wurstel  fondutina  cip; 13 ;;;;;;
Patatine fritte; 3 ;;;;;;
Patatine fritte del re; 4 ;;;;;;
Dolci;;;;;;;
Cantinetti & nutella; 5 ;;;;;;
Focaccia alla nutella; 5 ;;;;;;
Lavagna;;;;;;;
Lavagna 4; 4 ;;;;;;
Lavagna 7; 7 ;;;;;;
Lavagna 8; 8 ;;;;;;
Lavagna 9; 9 ;;;;;;
Lavagna 10; 10 ;;;;;;
Lavagna 12; 12 ;;;;;;
Lavagna 13; 13 ;;;;;;
Lavagna 14; 14 ;;;;;;
Lavagna 5; 5 ;;;;;;
Lavagna 15; 15 ;;;;;;
Panini;;;;;;;
House  ( pane fatto in casa); 11 ;;;;;;
Guardia; 8 ;;;;;;
Hot Dog; 7 ;;;;;;
Cotto; 8 ;;;;;;
Burger; 8 ;;;;;;
Menda'B; 9 ;;;;;;
Gorgo'B; 9 ;;;;;;
Pata'B; 9 ;;;;;;
Pig'B; 9 ;;;;;;
 ;   ;;;;;;
 ;   ;;;;;;
 ;   ;;;;;;
